                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.6075,                0.52873,                0.84665,                0.99644,                      1,                  0.995,                0.84768,                 0.5681,                 0.4586,                0.79956,              0.0014029,              0.0014029,              0.0014029
                     50,                0.62301,                0.51757,                0.83953,                0.99503,                      1,                  0.995,                0.87089,                0.53152,                0.44694,                0.79007,              0.0013974,              0.0013974,              0.0013974
                     51,                 0.5723,                0.53525,                0.85525,                0.99636,                      1,                  0.995,                0.86676,                0.54146,                0.42328,                0.78926,              0.0013919,              0.0013919,              0.0013919
                     52,                0.57757,                0.49071,                0.86051,                0.99818,                      1,                  0.995,                0.86478,                0.55567,                0.41296,                0.78686,              0.0013864,              0.0013864,              0.0013864
                     53,                0.60379,                0.47021,                0.84778,                0.99875,                      1,                  0.995,                0.87973,                0.52363,                0.40239,                0.78847,              0.0013809,              0.0013809,              0.0013809
                     54,                0.58941,                0.47778,                0.85452,                0.99874,                      1,                  0.995,                0.87596,                0.51347,                0.39615,                0.78616,              0.0013754,              0.0013754,              0.0013754
                     55,                0.58401,                0.48495,                0.83413,                0.99821,                      1,                  0.995,                0.82885,                0.60461,                0.40449,                0.79698,              0.0013699,              0.0013699,              0.0013699
                     56,                0.59595,                0.47991,                0.84838,                0.99748,                      1,                  0.995,                0.85275,                 0.5591,                0.41413,                0.79401,              0.0013644,              0.0013644,              0.0013644
                     57,                0.56113,                0.48162,                0.82782,                0.99753,                      1,                  0.995,                0.87132,                0.51196,                0.40578,                0.78911,              0.0013589,              0.0013589,              0.0013589
                     58,                0.54444,                0.46116,                0.84084,                0.99909,                      1,                  0.995,                0.86305,                0.56946,                0.39623,                0.79337,              0.0013534,              0.0013534,              0.0013534
                     59,                0.64043,                0.46976,                0.84477,                0.99859,                      1,                  0.995,                0.86285,                  0.568,                0.40997,                0.79856,              0.0013479,              0.0013479,              0.0013479
                     60,                0.58902,                0.45934,                 0.8389,                0.99866,                      1,                  0.995,                0.85582,                0.55001,                0.40579,                 0.7914,              0.0013424,              0.0013424,              0.0013424
                     61,                0.59552,                0.47027,                0.83454,                0.99877,                      1,                  0.995,                0.85148,                0.58358,                0.40541,                0.79515,              0.0013369,              0.0013369,              0.0013369
                     62,                0.59936,                0.46381,                 0.8497,                0.99845,                      1,                  0.995,                0.86845,                 0.5567,                0.39193,                 0.7893,              0.0013314,              0.0013314,              0.0013314
                     63,                0.57524,                0.46548,                0.83457,                0.99791,                      1,                  0.995,                0.86933,                0.51822,                0.37881,                0.78627,              0.0013259,              0.0013259,              0.0013259
                     64,                0.57853,                0.46981,                0.82886,                0.99828,                      1,                  0.995,                0.87661,                0.52552,                0.37601,                0.78638,              0.0013204,              0.0013204,              0.0013204
                     65,                0.59847,                0.46024,                 0.8222,                0.99849,                      1,                  0.995,                0.87335,                0.53558,                0.38795,                0.78637,              0.0013149,              0.0013149,              0.0013149
                     66,                 0.5735,                0.44068,                0.81817,                0.99864,                      1,                  0.995,                0.87418,                0.53747,                 0.3922,                0.78149,              0.0013094,              0.0013094,              0.0013094
                     67,                0.55816,                0.43429,                0.81049,                 0.9989,                      1,                  0.995,                0.85698,                 0.5632,                 0.3917,                0.78217,              0.0013039,              0.0013039,              0.0013039
                     68,                0.59871,                0.47079,                0.83471,                0.99869,                      1,                  0.995,                 0.8771,                0.51773,                 0.3725,                0.77776,              0.0012984,              0.0012984,              0.0012984
                     69,                0.54818,                0.46394,                0.83335,                0.99826,                      1,                  0.995,                0.86569,                0.51663,                 0.3766,                0.78508,              0.0012929,              0.0012929,              0.0012929
                     70,                0.56857,                 0.4507,                0.82709,                0.99768,                      1,                  0.995,                0.85602,                0.53207,                0.38153,                0.79188,              0.0012874,              0.0012874,              0.0012874
                     71,                0.60723,                0.47432,                 0.8502,                 0.9981,                      1,                  0.995,                0.86251,                 0.5186,                0.38823,                0.78755,              0.0012819,              0.0012819,              0.0012819
                     72,                0.55984,                0.47229,                 0.8179,                0.99881,                      1,                  0.995,                0.86162,                0.53577,                0.37001,                0.78453,              0.0012764,              0.0012764,              0.0012764
                     73,                0.61564,                0.46723,                0.84209,                0.99895,                      1,                  0.995,                0.88185,                0.52272,                0.38029,                0.78387,              0.0012709,              0.0012709,              0.0012709
                     74,                0.54733,                0.42479,                0.83029,                0.99882,                      1,                  0.995,                0.88839,                0.50012,                0.37674,                0.78211,              0.0012654,              0.0012654,              0.0012654
                     75,                0.57804,                0.42652,                0.83815,                0.99888,                      1,                  0.995,                0.87084,                0.50299,                0.37555,                0.78225,              0.0012599,              0.0012599,              0.0012599
                     76,                0.60675,                0.45915,                0.84544,                0.99907,                      1,                  0.995,                0.86904,                0.51333,                0.37881,                0.78116,              0.0012544,              0.0012544,              0.0012544
                     77,                0.53933,                0.44884,                 0.8401,                0.99846,                      1,                  0.995,                0.88036,                0.50205,                0.36677,                0.77952,              0.0012489,              0.0012489,              0.0012489
                     78,                0.58841,                0.44074,                0.83442,                 0.9975,                      1,                  0.995,                0.89362,                 0.4879,                0.36952,                0.78086,              0.0012434,              0.0012434,              0.0012434
                     79,                0.57953,                0.48315,                 0.8316,                0.99675,                      1,                  0.995,                0.88367,                0.49677,                0.37644,                0.78076,              0.0012379,              0.0012379,              0.0012379
                     80,                0.54144,                0.42637,                0.83459,                0.99724,                      1,                  0.995,                0.88339,                0.49546,                0.37578,                0.78268,              0.0012324,              0.0012324,              0.0012324
                     81,                0.53314,                0.42424,                 0.8035,                0.99818,                      1,                  0.995,                0.87714,                0.51004,                0.36184,                0.78542,              0.0012269,              0.0012269,              0.0012269
                     82,                0.56105,                0.44595,                0.83607,                0.99874,                      1,                  0.995,                0.87372,                0.50434,                0.35427,                0.78919,              0.0012214,              0.0012214,              0.0012214
                     83,                0.55345,                0.42656,                0.83634,                0.99879,                      1,                  0.995,                0.87622,                0.49955,                0.34913,                0.78395,              0.0012159,              0.0012159,              0.0012159
                     84,                0.54293,                0.42005,                0.81186,                0.99866,                      1,                  0.995,                0.87637,                0.47878,                0.35157,                0.77889,              0.0012104,              0.0012104,              0.0012104
                     85,                0.52229,                0.45903,                0.80796,                0.99828,                      1,                  0.995,                0.87551,                0.49306,                0.34511,                0.77837,              0.0012049,              0.0012049,              0.0012049
                     86,                0.53268,                0.41706,                 0.8359,                0.99796,                      1,                  0.995,                0.87684,                0.49055,                0.34928,                0.78036,              0.0011994,              0.0011994,              0.0011994
                     87,                0.48941,                0.39948,                0.81769,                0.99769,                      1,                  0.995,                 0.8837,                0.49068,                0.35366,                  0.785,              0.0011939,              0.0011939,              0.0011939
                     88,                0.54412,                0.42448,                0.83271,                0.99822,                      1,                  0.995,                0.89274,                 0.4708,                0.34693,                0.77826,              0.0011884,              0.0011884,              0.0011884
                     89,                 0.5421,                0.40898,                0.82382,                0.99837,                      1,                  0.995,                0.88727,                0.48095,                0.33518,                0.78038,              0.0011829,              0.0011829,              0.0011829
                     90,                 0.5383,                 0.3837,                0.82581,                0.99856,                      1,                  0.995,                0.88071,                0.49842,                0.34024,                 0.7816,              0.0011774,              0.0011774,              0.0011774
                     91,                0.51758,                0.39463,                0.85338,                0.99832,                      1,                  0.995,                0.87996,                0.49246,                0.34042,                0.78097,              0.0011719,              0.0011719,              0.0011719
                     92,                  0.516,                0.41804,                 0.8504,                  0.998,                      1,                  0.995,                0.86987,                 0.5214,                 0.3405,                0.78539,              0.0011664,              0.0011664,              0.0011664
                     93,                0.54731,                0.40248,                0.82796,                0.99815,                      1,                  0.995,                0.88446,                0.48869,                0.33692,                0.77947,              0.0011609,              0.0011609,              0.0011609
                     94,                0.51624,                 0.3958,                0.80387,                0.99816,                      1,                  0.995,                0.89192,                0.48145,                0.34666,                0.78062,              0.0011554,              0.0011554,              0.0011554
                     95,                0.53828,                0.39554,                0.82094,                0.99767,                      1,                  0.995,                0.88717,                0.49025,                0.35102,                0.78322,              0.0011499,              0.0011499,              0.0011499
                     96,                0.52249,                0.41354,                0.84841,                0.99779,                      1,                  0.995,                0.88784,                0.47189,                0.34706,                0.78077,              0.0011444,              0.0011444,              0.0011444
